pedido_id,data_pedido,cliente_id,produto_id,quantidade,valor_unitario,desconto_pct,valor_total,status
31,2024-06-05,230,5,1,137.73,0.0,137.73,Cancelado
32,2025-05-15,203,10,1,167.45,0.0,167.45,Cancelado
33,2024-07-26,464,9,1,148.2,0.0,148.2,Entregue
34,2024-04-01,490,19,3,78.99,0.1,213.27,Em trânsito
35,2024-07-30,398,16,1,47.93,0.0,47.93,Em trânsito
36,2025-07-12,364,7,2,50.46,0.0,100.92,Entregue
37,2025-10-24,178,6,1,68.08,0.1,61.27,Entregue
38,2025-10-08,68,12,1,175.49,0.0,175.49,Entregue
39,2024-11-14,284,13,1,154.87,0.15,131.64,Entregue
40,2025-05-28,70,16,1,47.93,0.0,47.93,Entregue
41,2024-06-27,148,23,1,298.32,0.0,298.32,Cancelado
42,2024-09-10,222,24,1,361.41,0.0,361.41,Entregue
43,2025-11-14,118,13,1,154.87,0.0,154.87,Entregue
44,2024-01-12,430,14,1,61.85,0.0,61.85,Entregue
45,2024-03-20,459,22,1,168.57,0.0,168.57,Entregue
46,2024-06-29,349,17,1,63.03,0.0,63.03,Entregue
47,2024-01-24,364,17,1,63.03,0.0,63.03,Entregue
48,2024-06-07,421,23,1,298.32,0.1,268.49,Entregue
49,2025-03-18,258,4,3,301.5,0.0,904.5,Em trânsito
50,2024-11-24,5,4,1,301.5,0.0,301.5,Em trânsito
51,2025-11-12,444,13,2,154.87,0.1,278.77,Entregue
52,2025-09-29,466,3,1,350.84,0.0,350.84,Cancelado
53,2024-10-15,322,14,1,61.85,0.0,61.85,Em trânsito
54,2024-08-13,312,4,1,301.5,0.0,301.5,Entregue
55,2024-11-06,264,21,1,570.07,0.0,570.07,Entregue
56,2025-03-25,261,5,1,137.73,0.0,137.73,Cancelado
57,2024-08-20,197,8,1,195.91,0.0,195.91,Entregue
58,2025-04-22,215,19,1,78.99,0.1,71.09,Entregue
59,2024-11-19,114,17,2,63.03,0.0,126.06,Entregue
60,2025-02-17,315,1,2,218.58,0.0,437.16,Entregue
61,2024-12-01,324,22,1,168.57,0.0,168.57,Entregue
62,2024-09-11,347,3,1,350.84,0.05,333.3,Entregue
63,2025-12-07,483,11,2,33.09,0.05,62.87,Entregue
64,2025-08-17,262,3,3,350.84,0.0,1052.52,Entregue
65,2024-05-05,326,8,1,195.91,0.1,176.32,Cancelado
66,2025-11-01,254,11,1,33.09,0.0,33.09,Em trânsito
67,2024-12-25,62,6,1,68.08,0.0,68.08,Entregue
68,2025-11-13,24,21,1,570.07,0.0,570.07,Entregue
69,2025-09-15,151,1,1,218.58,0.0,218.58,Entregue
70,2024-11-26,78,5,1,137.73,0.0,137.73,Em trânsito
71,2024-01-20,179,14,1,61.85,0.15,52.57,Entregue
72,2024-08-21,363,22,1,168.57,0.0,168.57,Entregue
73,2025-02-07,88,20,1,61.4,0.0,61.4,Entregue
74,2025-04-30,405,6,1,68.08,0.0,68.08,Entregue
75,2024-08-12,226,19,1,78.99,0.0,78.99,Entregue
76,2024-05-04,426,15,1,57.27,0.0,57.27,Entregue
77,2025-10-11,25,20,1,61.4,0.0,61.4,Entregue
78,2025-12-24,95,23,1,298.32,0.0,298.32,Entregue
79,2025-01-23,24,7,1,50.46,0.0,50.46,Entregue
80,2024-05-30,207,21,2,570.07,0.0,1140.14,Entregue
81,2024-08-24,335,22,3,168.57,0.0,505.71,Entregue
82,2024-01-17,125,20,1,61.4,0.0,61.4,Cancelado
83,2025-11-22,173,13,2,154.87,0.0,309.74,Entregue
84,2024-04-17,118,5,1,137.73,0.0,137.73,Entregue
85,2025-03-13,133,3,1,350.84,0.15,298.21,Cancelado
86,2024-08-25,49,15,1,57.27,0.0,57.27,Entregue
87,2025-02-20,180,1,1,218.58,0.05,207.65,Entregue
88,2025-05-14,227,19,1,78.99,0.0,78.99,Entregue
89,2025-10-07,106,18,2,90.59,0.0,181.18,Cancelado
90,2024-06-28,474,10,2,167.45,0.0,334.9,Entregue
91,2024-01-10,177,16,2,47.93,0.15,81.48,Entregue
92,2024-05-03,205,21,2,570.07,0.0,1140.14,Em trânsito
93,2025-11-15,466,5,1,137.73,0.0,137.73,Em trânsito
94,2025-11-04,72,6,1,68.08,0.0,68.08,Entregue
95,2025-03-31,458,20,2,61.4,0.0,122.8,Entregue
96,2025-04-03,290,13,1,154.87,0.0,154.87,Entregue
97,2025-05-25,170,19,1,78.99,0.0,78.99,Entregue
98,2024-06-02,431,3,2,350.84,0.0,701.68,Entregue
99,2025-11-22,251,8,1,195.91,0.0,195.91,Cancelado
100,2024-11-23,300,18,1,90.59,0.1,81.53,Entregue
101,2024-11-07,224,22,1,168.57,0.0,168.57,Entregue
102,2025-01-17,99,8,1,195.91,0.0,195.91,Entregue
103,2024-02-13,306,14,2,61.85,0.0,123.7,Entregue
104,2024-05-26,63,24,2,361.41,0.1,650.54,Cancelado
105,2025-07-26,268,25,1,437.66,0.0,437.66,Entregue
106,2024-03-18,62,7,1,50.46,0.0,50.46,Cancelado
107,2025-04-05,87,4,1,301.5,0.0,301.5,Cancelado
108,2024-08-01,351,10,1,167.45,0.0,167.45,Entregue
109,2024-11-10,143,6,1,68.08,0.0,68.08,Entregue
110,2024-09-06,389,22,2,168.57,0.0,337.14,Entregue
111,2024-10-24,356,3,2,350.84,0.0,701.68,Em trânsito
112,2025-07-09,260,3,1,350.84,0.05,333.3,Cancelado
113,2024-09-13,442,3,3,350.84,0.0,1052.52,Entregue
114,2025-03-04,263,20,1,61.4,0.0,61.4,Entregue
115,2024-12-20,102,15,1,57.27,0.05,54.41,Entregue
116,2025-05-24,242,24,1,361.41,0.0,361.41,Em trânsito
117,2025-12-02,255,14,1,61.85,0.0,61.85,Entregue
118,2025-07-21,110,13,1,154.87,0.0,154.87,Entregue
119,2024-07-05,319,17,1,63.03,0.0,63.03,Entregue
120,2024-01-28,430,13,1,154.87,0.0,154.87,Entregue
121,2024-08-15,350,16,1,47.93,0.0,47.93,Entregue
122,2025-03-29,50,7,3,50.46,0.0,151.38,Entregue
123,2024-02-17,315,21,2,570.07,0.0,1140.14,Cancelado
124,2024-12-30,217,7,1,50.46,0.0,50.46,Entregue
125,2025-03-31,409,11,3,33.09,0.0,99.27,Entregue
126,2024-10-10,284,20,1,61.4,0.0,61.4,Entregue
127,2025-08-23,254,15,1,57.27,0.0,57.27,Entregue
128,2024-04-07,71,15,2,57.27,0.0,114.54,Entregue
129,2024-03-11,104,24,1,361.41,0.1,325.27,Entregue
130,2025-07-18,248,8,1,195.91,0.0,195.91,Entregue
131,2024-12-29,304,24,2,361.41,0.0,722.82,Entregue
132,2025-06-13,492,16,2,47.93,0.0,95.86,Em trânsito
133,2024-11-30,17,21,1,570.07,0.05,541.57,Em trânsito
134,2024-08-02,231,6,1,68.08,0.0,68.08,Entregue
135,2025-10-01,131,7,3,50.46,0.0,151.38,Em trânsito
136,2025-09-15,47,25,1,437.66,0.0,437.66,Cancelado
137,2025-06-19,158,10,3,167.45,0.0,502.35,Entregue
138,2024-08-24,142,12,1,175.49,0.0,175.49,Entregue
139,2025-03-25,235,7,1,50.46,0.15,42.89,Cancelado
140,2024-10-27,163,12,1,175.49,0.0,175.49,Entregue
141,2024-03-25,399,9,1,148.2,0.0,148.2,Entregue
142,2025-11-23,448,3,1,350.84,0.1,315.76,Cancelado
143,2024-05-02,120,14,1,61.85,0.0,61.85,Cancelado
144,2025-12-08,467,16,1,47.93,0.0,47.93,Entregue
145,2024-12-06,320,11,1,33.09,0.0,33.09,Entregue
146,2024-06-10,351,12,1,175.49,0.0,175.49,Em trânsito
147,2025-02-07,125,6,1,68.08,0.0,68.08,Entregue
148,2025-11-03,207,3,1,350.84,0.0,350.84,Entregue
149,2025-07-21,95,24,3,361.41,0.0,1084.23,Cancelado
150,2025-09-21,483,22,1,168.57,0.1,151.71,Em trânsito
151,2025-05-20,277,24,1,361.41,0.0,361.41,Entregue
152,2025-06-17,286,16,2,47.93,0.05,91.07,Cancelado
153,2025-10-20,169,3,1,350.84,0.0,350.84,Entregue
154,2024-08-05,254,10,3,167.45,0.0,502.35,Entregue
155,2024-12-26,153,12,3,175.49,0.0,526.47,Cancelado
156,2024-07-11,316,18,1,90.59,0.0,90.59,Entregue
157,2025-12-26,341,4,1,301.5,0.0,301.5,Entregue
158,2025-12-05,279,25,1,437.66,0.0,437.66,Em trânsito
159,2024-02-05,489,18,1,90.59,0.0,90.59,Entregue
160,2025-06-28,148,4,1,301.5,0.15,256.27,Entregue
161,2025-11-26,455,7,3,50.46,0.0,151.38,Entregue
162,2024-06-06,229,18,1,90.59,0.0,90.59,Entregue
163,2025-03-05,254,17,2,63.03,0.05,119.76,Entregue
164,2025-11-22,201,22,1,168.57,0.0,168.57,Entregue
165,2024-01-31,137,17,1,63.03,0.0,63.03,Em trânsito
166,2025-06-21,311,10,1,167.45,0.0,167.45,Entregue
167,2024-09-13,228,21,1,570.07,0.0,570.07,Entregue
168,2025-11-26,274,25,1,437.66,0.0,437.66,Em trânsito
169,2025-12-18,277,3,2,350.84,0.15,596.43,Entregue
170,2025-12-05,422,13,2,154.87,0.0,309.74,Em trânsito
171,2024-12-19,217,10,1,167.45,0.0,167.45,Entregue
172,2025-10-28,103,14,2,61.85,0.0,123.7,Entregue
173,2025-10-17,309,13,1,154.87,0.05,147.13,Entregue
174,2024-09-30,422,9,1,148.2,0.0,148.2,Entregue
175,2025-10-07,187,13,1,154.87,0.0,154.87,Entregue
176,2024-02-03,407,24,1,361.41,0.0,361.41,Entregue
177,2025-03-30,390,12,1,175.49,0.0,175.49,Cancelado
178,2024-07-19,330,10,1,167.45,0.0,167.45,Em trânsito
179,2024-04-19,175,22,1,168.57,0.0,168.57,Entregue
180,2024-03-12,238,23,1,298.32,0.1,268.49,Entregue
181,2025-06-20,500,23,1,298.32,0.0,298.32,Cancelado
182,2024-10-14,128,7,2,50.46,0.0,100.92,Entregue
183,2025-07-15,106,7,1,50.46,0.0,50.46,Em trânsito
184,2024-03-02,436,2,1,431.76,0.0,431.76,Entregue
185,2024-09-27,19,14,1,61.85,0.0,61.85,Em trânsito
186,2025-02-05,409,25,1,437.66,0.0,437.66,Em trânsito
187,2025-09-08,250,2,1,431.76,0.0,431.76,Entregue
188,2024-09-30,397,7,1,50.46,0.05,47.94,Entregue
189,2025-04-24,497,11,1,33.09,0.1,29.78,Entregue
190,2025-11-09,182,15,1,57.27,0.0,57.27,Entregue
191,2025-04-16,460,3,1,350.84,0.1,315.76,Cancelado
192,2024-07-21,436,24,1,361.41,0.0,361.41,Entregue
193,2024-01-22,107,14,1,61.85,0.0,61.85,Entregue
194,2025-11-02,352,19,1,78.99,0.0,78.99,Cancelado
195,2024-01-19,82,8,1,195.91,0.0,195.91,Entregue
196,2025-11-04,18,14,1,61.85,0.0,61.85,Entregue
197,2025-01-26,82,2,2,431.76,0.0,863.52,Entregue
198,2025-12-03,481,13,1,154.87,0.0,154.87,Entregue
199,2025-09-15,223,6,1,68.08,0.15,57.87,Entregue
200,2025-12-31,280,25,1,437.66,0.05,415.78,Em trânsito
201,2024-10-21,25,23,1,298.32,0.05,283.4,Entregue
202,2025-08-20,315,4,2,301.5,0.0,603.0,Entregue
203,2024-11-16,143,3,1,350.84,0.0,350.84,Entregue
204,2024-12-22,282,16,1,47.93,0.0,47.93,Entregue
205,2025-04-25,35,5,1,137.73,0.15,117.07,Entregue
206,2025-11-03,302,5,1,137.73,0.0,137.73,Entregue
207,2025-12-24,51,21,1,570.07,0.15,484.56,Entregue
208,2025-08-21,282,10,1,167.45,0.0,167.45,Entregue
209,2024-11-23,91,11,1,33.09,0.0,33.09,Entregue
210,2024-11-24,293,11,2,33.09,0.15,56.25,Entregue
211,2025-07-26,23,2,1,431.76,0.0,431.76,Em trânsito
212,2024-07-27,3,19,1,78.99,0.0,78.99,Entregue
213,2024-04-11,30,17,3,63.03,0.0,189.09,Entregue
214,2024-10-23,433,6,2,68.08,0.0,136.16,Entregue
215,2024-09-05,158,15,2,57.27,0.0,114.54,Entregue
216,2024-09-12,308,16,1,47.93,0.1,43.14,Entregue
217,2024-07-22,184,25,1,437.66,0.05,415.78,Em trânsito
218,2024-02-08,343,10,2,167.45,0.0,334.9,Em trânsito
219,2024-01-16,85,9,1,148.2,0.05,140.79,Entregue
220,2025-12-26,470,12,2,175.49,0.0,350.98,Entregue
221,2024-11-27,184,18,1,90.59,0.0,90.59,Em trânsito
222,2024-11-08,439,20,1,61.4,0.0,61.4,Cancelado
223,2025-06-06,315,19,2,78.99,0.05,150.08,Em trânsito
224,2024-07-08,107,18,1,90.59,0.0,90.59,Em trânsito
225,2025-12-08,130,10,1,167.45,0.0,167.45,Entregue
226,2025-09-05,315,2,2,431.76,0.0,863.52,Entregue
227,2024-03-24,336,24,1,361.41,0.1,325.27,Entregue
228,2024-11-23,151,16,1,47.93,0.0,47.93,Entregue
229,2025-11-06,360,24,1,361.41,0.0,361.41,Entregue
230,2025-12-05,309,5,1,137.73,0.0,137.73,Cancelado
231,2024-12-16,184,20,1,61.4,0.0,61.4,Em trânsito
232,2025-04-13,282,14,1,61.85,0.05,58.76,Entregue
233,2024-05-26,330,10,1,167.45,0.0,167.45,Entregue
234,2025-12-27,114,23,1,298.32,0.0,298.32,Entregue
235,2024-07-20,474,1,1,218.58,0.0,218.58,Entregue
236,2025-12-04,210,14,1,61.85,0.0,61.85,Entregue
237,2025-05-13,302,24,1,361.41,0.1,325.27,Entregue
238,2025-04-09,478,10,1,167.45,0.0,167.45,Entregue
239,2025-01-11,228,22,1,168.57,0.0,168.57,Entregue
240,2024-07-19,18,25,1,437.66,0.0,437.66,Entregue
241,2024-06-03,262,17,2,63.03,0.15,107.15,Entregue
242,2024-07-10,216,2,2,431.76,0.0,863.52,Cancelado
243,2024-06-11,242,21,1,570.07,0.0,570.07,Em trânsito
244,2025-08-30,412,10,2,167.45,0.05,318.15,Em trânsito
245,2024-10-20,263,1,1,218.58,0.0,218.58,Entregue
246,2024-02-24,79,21,1,570.07,0.15,484.56,Entregue
247,2025-12-17,226,24,1,361.41,0.0,361.41,Entregue
248,2025-11-08,463,6,1,68.08,0.0,68.08,Entregue
249,2025-11-27,220,9,1,148.2,0.0,148.2,Entregue
250,2025-12-29,387,6,1,68.08,0.0,68.08,Entregue
251,2024-06-01,420,18,1,90.59,0.0,90.59,Entregue
252,2024-11-13,435,13,1,154.87,0.0,154.87,Entregue
253,2025-08-13,21,4,2,301.5,0.05,572.85,Entregue
254,2025-06-20,419,3,1,350.84,0.05,333.3,Entregue
255,2024-05-16,312,15,1,57.27,0.0,57.27,Entregue
256,2025-09-28,318,12,2,175.49,0.0,350.98,Entregue
257,2024-07-14,286,2,1,431.76,0.15,367.0,Entregue
258,2024-07-13,307,21,1,570.07,0.0,570.07,Entregue
259,2025-02-02,223,22,2,168.57,0.0,337.14,Entregue
260,2025-03-27,459,15,2,57.27,0.0,114.54,Em trânsito
261,2025-03-16,75,3,1,350.84,0.0,350.84,Entregue
262,2024-03-25,306,25,1,437.66,0.0,437.66,Entregue
263,2025-11-05,68,7,1,50.46,0.0,50.46,Entregue
264,2024-08-18,290,7,2,50.46,0.0,100.92,Entregue
265,2024-04-27,193,10,1,167.45,0.0,167.45,Entregue
266,2025-11-10,406,13,2,154.87,0.15,263.28,Em trânsito
267,2025-12-10,62,16,1,47.93,0.0,47.93,Entregue
268,2025-10-28,386,8,1,195.91,0.0,195.91,Cancelado
269,2025-09-23,47,17,1,63.03,0.0,63.03,Entregue
270,2025-05-17,391,6,1,68.08,0.0,68.08,Em trânsito
271,2025-02-16,230,1,2,218.58,0.0,437.16,Entregue
272,2024-03-21,18,9,1,148.2,0.0,148.2,Entregue
273,2024-11-19,386,9,1,148.2,0.0,148.2,Cancelado
274,2024-11-03,9,7,1,50.46,0.0,50.46,Entregue
275,2024-08-13,176,21,1,570.07,0.0,570.07,Entregue
276,2025-07-13,267,3,2,350.84,0.0,701.68,Entregue
277,2024-12-29,136,16,1,47.93,0.0,47.93,Entregue
278,2024-03-16,309,8,1,195.91,0.0,195.91,Entregue
279,2024-07-10,332,22,1,168.57,0.0,168.57,Entregue
280,2025-06-09,186,22,2,168.57,0.0,337.14,Cancelado
281,2024-03-12,14,1,1,218.58,0.15,185.79,Entregue
282,2025-10-21,251,6,1,68.08,0.0,68.08,Entregue
283,2024-12-29,349,11,1,33.09,0.05,31.44,Entregue
284,2024-12-22,34,10,1,167.45,0.1,150.7,Entregue
285,2025-03-27,185,11,1,33.09,0.05,31.44,Cancelado
286,2025-10-04,448,11,2,33.09,0.0,66.18,Entregue
287,2024-10-19,312,16,1,47.93,0.0,47.93,Cancelado
288,2025-06-05,292,5,1,137.73,0.0,137.73,Cancelado
289,2025-03-03,466,15,1,57.27,0.05,54.41,Entregue
290,2024-08-19,361,12,1,175.49,0.0,175.49,Entregue
291,2025-11-06,361,20,1,61.4,0.15,52.19,Entregue
292,2025-09-13,185,5,1,137.73,0.0,137.73,Entregue
293,2025-05-20,296,9,1,148.2,0.05,140.79,Cancelado
294,2025-10-21,48,17,1,63.03,0.0,63.03,Em trânsito
295,2025-11-01,210,15,1,57.27,0.0,57.27,Entregue
296,2025-06-30,468,7,1,50.46,0.0,50.46,Entregue
297,2025-10-12,425,2,1,431.76,0.05,410.17,Entregue
298,2025-06-21,58,14,1,61.85,0.0,61.85,Em trânsito
299,2025-06-06,202,23,2,298.32,0.0,596.64,Cancelado
300,2025-04-18,184,10,1,167.45,0.0,167.45,Entregue
301,2025-08-08,425,22,1,168.57,0.0,168.57,Cancelado
302,2024-05-20,207,17,1,63.03,0.0,63.03,Entregue
303,2025-11-07,484,12,1,175.49,0.0,175.49,Em trânsito
304,2025-11-03,372,23,1,298.32,0.0,298.32,Entregue
305,2024-01-26,163,9,1,148.2,0.0,148.2,Entregue
306,2025-10-05,272,12,1,175.49,0.0,175.49,Em trânsito
307,2024-04-26,195,7,1,50.46,0.0,50.46,Entregue
308,2024-10-11,73,21,1,570.07,0.0,570.07,Em trânsito
309,2025-07-31,400,25,1,437.66,0.1,393.89,Entregue
310,2024-05-21,387,1,1,218.58,0.1,196.72,Em trânsito
311,2025-09-30,70,7,1,50.46,0.0,50.46,Cancelado
312,2025-10-09,52,15,1,57.27,0.0,57.27,Entregue
313,2025-01-07,437,23,1,298.32,0.0,298.32,Entregue
314,2024-01-06,431,8,1,195.91,0.0,195.91,Entregue
315,2024-09-05,304,2,1,431.76,0.0,431.76,Entregue
316,2025-04-16,9,25,1,437.66,0.0,437.66,Entregue
317,2025-12-23,467,4,1,301.5,0.0,301.5,Entregue
318,2025-04-29,14,14,1,61.85,0.0,61.85,Em trânsito
319,2024-08-13,203,15,1,57.27,0.0,57.27,Entregue
320,2025-05-01,388,18,1,90.59,0.0,90.59,Em trânsito
321,2025-02-05,103,14,1,61.85,0.0,61.85,Entregue
322,2025-08-31,325,18,1,90.59,0.0,90.59,Entregue
323,2024-04-08,72,15,1,57.27,0.0,57.27,Entregue
324,2025-08-15,466,20,1,61.4,0.15,52.19,Em trânsito
325,2025-02-06,167,13,1,154.87,0.0,154.87,Entregue
326,2025-12-14,116,6,1,68.08,0.0,68.08,Em trânsito
327,2024-10-15,449,7,3,50.46,0.0,151.38,Entregue
328,2025-04-30,270,2,1,431.76,0.0,431.76,Cancelado
329,2025-11-29,150,24,2,361.41,0.0,722.82,Cancelado
330,2024-04-04,442,9,1,148.2,0.0,148.2,Entregue
331,2025-12-02,102,11,1,33.09,0.0,33.09,Em trânsito
332,2025-06-13,209,14,2,61.85,0.0,123.7,Entregue
333,2024-03-04,22,14,1,61.85,0.0,61.85,Em trânsito
334,2024-09-16,291,8,1,195.91,0.15,166.52,Entregue
335,2025-06-30,262,5,2,137.73,0.0,275.46,Cancelado
336,2024-03-04,39,13,3,154.87,0.0,464.61,Entregue
337,2025-03-18,286,25,1,437.66,0.0,437.66,Entregue
338,2024-10-18,109,22,1,168.57,0.05,160.14,Em trânsito
339,2025-04-20,234,1,2,218.58,0.0,437.16,Cancelado
340,2024-02-11,296,13,1,154.87,0.0,154.87,Entregue
341,2025-11-03,378,22,1,168.57,0.1,151.71,Em trânsito
342,2025-12-19,456,10,2,167.45,0.0,334.9,Entregue
343,2025-12-17,440,2,1,431.76,0.0,431.76,Entregue
344,2025-08-05,426,12,1,175.49,0.0,175.49,Entregue
345,2024-04-27,352,20,1,61.4,0.0,61.4,Entregue
346,2025-08-13,78,10,1,167.45,0.05,159.08,Cancelado
347,2024-01-22,200,17,1,63.03,0.0,63.03,Entregue
348,2024-01-20,55,8,1,195.91,0.0,195.91,Cancelado
349,2024-10-03,52,13,1,154.87,0.0,154.87,Entregue
350,2024-12-26,76,14,1,61.85,0.15,52.57,Entregue
351,2025-08-23,412,19,1,78.99,0.0,78.99,Entregue
352,2025-06-09,109,10,1,167.45,0.0,167.45,Entregue
353,2024-12-06,208,9,1,148.2,0.0,148.2,Cancelado
354,2024-08-25,478,19,1,78.99,0.0,78.99,Entregue
355,2025-12-30,215,8,1,195.91,0.1,176.32,Em trânsito
356,2024-11-27,271,23,1,298.32,0.0,298.32,Entregue
357,2024-12-08,476,7,1,50.46,0.0,50.46,Em trânsito
358,2024-05-24,127,3,1,350.84,0.0,350.84,Entregue
359,2025-09-11,93,14,1,61.85,0.05,58.76,Entregue
360,2025-06-18,419,1,1,218.58,0.1,196.72,Entregue
361,2024-07-11,408,23,2,298.32,0.0,596.64,Cancelado
362,2024-03-17,396,1,1,218.58,0.0,218.58,Entregue
363,2025-06-07,71,6,1,68.08,0.0,68.08,Entregue
364,2025-05-17,357,13,1,154.87,0.05,147.13,Entregue
365,2024-08-25,348,3,1,350.84,0.0,350.84,Cancelado
366,2025-12-08,30,7,1,50.46,0.0,50.46,Entregue
367,2024-05-14,344,14,1,61.85,0.0,61.85,Em trânsito
368,2024-11-29,359,5,1,137.73,0.0,137.73,Em trânsito
369,2025-12-05,58,11,1,33.09,0.1,29.78,Cancelado
370,2024-11-24,180,7,2,50.46,0.1,90.83,Entregue
371,2025-05-04,207,3,1,350.84,0.0,350.84,Entregue
372,2024-11-14,130,5,1,137.73,0.0,137.73,Entregue
373,2024-08-25,364,4,1,301.5,0.0,301.5,Entregue
374,2025-12-24,329,20,1,61.4,0.0,61.4,Entregue
375,2024-11-19,79,17,1,63.03,0.0,63.03,Em trânsito
376,2025-11-13,35,18,1,90.59,0.0,90.59,Entregue
377,2024-07-19,339,22,1,168.57,0.0,168.57,Entregue
378,2024-07-04,220,23,1,298.32,0.0,298.32,Cancelado
379,2024-01-28,419,10,1,167.45,0.0,167.45,Cancelado
380,2025-05-15,278,9,1,148.2,0.15,125.97,Entregue
381,2024-11-01,290,25,1,437.66,0.0,437.66,Em trânsito
382,2025-10-30,437,8,1,195.91,0.0,195.91,Cancelado
383,2024-12-19,484,7,2,50.46,0.15,85.78,Entregue
384,2025-12-16,25,6,1,68.08,0.0,68.08,Entregue
385,2024-06-10,403,18,1,90.59,0.15,77.0,Cancelado
386,2025-11-01,215,21,1,570.07,0.0,570.07,Cancelado
387,2025-08-28,316,9,1,148.2,0.0,148.2,Cancelado
388,2025-08-23,445,11,1,33.09,0.0,33.09,Entregue
389,2025-10-17,326,5,2,137.73,0.0,275.46,Entregue
390,2025-08-15,73,4,1,301.5,0.1,271.35,Cancelado
391,2025-04-24,417,13,1,154.87,0.0,154.87,Em trânsito
392,2024-04-28,196,18,1,90.59,0.05,86.06,Em trânsito
393,2024-01-29,231,20,2,61.4,0.0,122.8,Entregue
394,2025-11-24,440,21,1,570.07,0.1,513.06,Em trânsito
395,2025-04-16,461,21,2,570.07,0.0,1140.14,Entregue
396,2025-09-13,455,13,2,154.87,0.1,278.77,Entregue
397,2024-12-23,135,13,1,154.87,0.0,154.87,Em trânsito
398,2024-04-16,457,17,2,63.03,0.0,126.06,Entregue
399,2024-04-23,416,22,1,168.57,0.0,168.57,Entregue
400,2025-06-11,1,20,1,61.4,0.05,58.33,Entregue
401,2024-11-28,307,20,1,61.4,0.15,52.19,Entregue
402,2024-06-23,101,11,1,33.09,0.05,31.44,Entregue
403,2024-12-27,397,14,1,61.85,0.0,61.85,Entregue
404,2024-03-01,35,20,1,61.4,0.0,61.4,Entregue
405,2025-03-17,414,15,1,57.27,0.0,57.27,Entregue
406,2024-08-21,258,2,1,431.76,0.0,431.76,Entregue
407,2025-09-14,101,13,2,154.87,0.0,309.74,Entregue
408,2024-09-23,348,15,1,57.27,0.0,57.27,Entregue
409,2024-12-10,499,11,2,33.09,0.0,66.18,Entregue
410,2024-01-11,250,18,1,90.59,0.0,90.59,Entregue
411,2024-03-08,327,20,1,61.4,0.0,61.4,Entregue
412,2024-11-12,121,11,2,33.09,0.0,66.18,Em trânsito
413,2024-12-22,215,11,2,33.09,0.0,66.18,Entregue
414,2025-04-02,418,7,1,50.46,0.0,50.46,Entregue
415,2024-09-09,44,14,2,61.85,0.0,123.7,Entregue
416,2025-06-19,95,4,1,301.5,0.0,301.5,Entregue
417,2025-10-27,47,20,1,61.4,0.05,58.33,Entregue
418,2025-08-31,80,23,2,298.32,0.0,596.64,Cancelado
419,2024-02-05,192,7,1,50.46,0.0,50.46,Em trânsito
420,2024-12-22,311,9,2,148.2,0.0,296.4,Em trânsito
421,2024-04-06,172,17,1,63.03,0.0,63.03,Entregue
422,2024-07-29,52,17,1,63.03,0.0,63.03,Cancelado
423,2025-12-25,448,19,1,78.99,0.0,78.99,Entregue
424,2024-05-07,424,6,3,68.08,0.0,204.24,Entregue
425,2024-12-31,33,8,1,195.91,0.1,176.32,Entregue
426,2025-04-17,221,3,1,350.84,0.15,298.21,Cancelado
427,2025-06-25,312,6,1,68.08,0.0,68.08,Em trânsito
